classifier,accuracy,precision,recall,f1,auc,regression_MAE,regression_RMSE,regression_R2,regression_Adjusted_R2
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,21.098604259640418,41.702104679032146,0.34816257216054314,0.30913039085279115
Decision Tree,0.7471910112359551,0.7346938775510204,0.5294117647058824,0.6153846153846154,0.8258689839572192,21.098604259640418,41.702104679032146,0.34816257216054314,0.30913039085279115
Random Forest,0.8033707865168539,0.7619047619047619,0.7058823529411765,0.732824427480916,0.8224598930481285,21.098604259640418,41.702104679032146,0.34816257216054314,0.30913039085279115
